pos,joint,obb_center_x,obb_center_y,obb_center_z,obb_axis_x1,obb_axis_y1,obb_axis_z1,obb_axis_x2,obb_axis_y2,obb_axis_z2,obb_axis_x3,obb_axis_y3,obb_axis_z3,obb_half_length_x,obb_half_length_y,obb_half_length_z
0,0,0.2517,-0.0081,0.4400,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
0,1,0.2598,-0.0052,0.6052,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
0,2,0.3356,-0.0656,0.5173,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
0,3,0.3577,-0.2424,0.5889,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
0,4,0.4757,-0.2891,0.5062,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
0,5,0.6436,-0.1525,0.6614,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
0,6,0.7366,-0.1332,0.4265,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
0,7,0.8455,-0.1250,0.4491,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
0,8,0.8730,-0.0818,0.4472,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
0,9,0.9034,-0.0156,0.4544,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
0,10,0.9472,-0.0756,0.4546,1.0000,-0.0017,0.0000,0.0017,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
1,0,0.5435,-0.0087,0.4400,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.2577,0.2263,0.1400
1,1,0.5517,-0.0059,0.6052,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.1100,0.2168,0.3052
1,2,0.6274,-0.0664,0.5173,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.1101,0.3070,0.2173
1,3,0.6492,-0.2432,0.5889,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.2836,0.2073,0.2889
1,4,0.7671,-0.2901,0.5062,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.2820,0.2947,0.2062
1,5,0.9352,-0.1539,0.6614,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.1112,0.2100,0.3614
1,6,1.0282,-0.1347,0.4265,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.1972,0.1336,0.1265
1,7,1.1372,-0.1266,0.4491,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.1624,0.1625,0.0548
1,8,1.1647,-0.0835,0.4472,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.0831,0.2046,0.1050
1,9,1.1952,-0.0173,0.4544,1.0000,-0.0033,0.0000,0.0033,1.0000,0.0000,0.0000,0.0000,1.0000,0.0210,0.0279,0.0569
